Titulo,Compañia,Experiencia,Salario,Ubicacion,Fecha,Requisitos
Graduate - Data Science,British Airways,0,"£33,600 ",Sin informacion,23-12-2022,"['Next', 'Access', 'Basis']"
Graduate Data Scientist (Entry Level),ERM Group,Sin informacion,Sin informacion,Sin informacion,16-01-2023,"['Reports', 'Python', 'R', 'MS Office']"
Data Science Industrial Placement 2023,Marks & Spencer,Sin informacion,Sin informacion,Sin informacion,23-12-2022,"['Core', 'Access']"
Data Science Summer Intern,MarketCast,Sin informacion,Sin informacion,Sin informacion,23-12-2022,"['Next', 'Express', 'Reports', 'Python', 'R', 'SQL', 'Agile', 'Tableau']"
Data Analyst,University of Oxford,Sin informacion,"£34,308 ",Sin informacion,17-01-2023,"['Python', 'R', 'SQL', 'SAS']"
Data Scientist,Samsung Electronics,Sin informacion,£600 ,Sin informacion,23-12-2022,"['Python', 'Tensorflow', 'AWS', 'Spark']"
Data Analyst,Ovo Energy Limited,Sin informacion,£300 ,Sin informacion,20-01-2023,"['Cycle', 'Core', 'Flex', 'Go', 'Next', 'Reports', 'Python', 'SQL', 'Business Intelligence', 'Agile', 'BI', 'Tableau']"
2023 Data Science Internship,Amazon EU SARL (UK Branch),Sin informacion,Sin informacion,Sin informacion,23-12-2022,"['MySQL', 'Python', 'R', 'SQL', 'AWS', 'Hadoop', 'Spark', 'PM', 'SAS']"
Data Science Summer Internship 2023,ThinkAnalytics,Sin informacion,Sin informacion,Sin informacion,17-01-2023,"['Core', 'Python', 'R', 'SQL', 'Apache', 'Linux', 'AWS', 'GIT', 'Docker', 'Spark']"
Data Scientist,NatWest Group,Sin informacion,Sin informacion,Sin informacion,11-01-2023,"['Reports', 'Access', 'ETL', 'Agile', 'Scrum']"
Customer Data Analyst,Centrica,Sin informacion,Sin informacion,Sin informacion,23-12-2022,"['Cycle', 'MS SQL', 'Reports', 'R', 'SQL', 'Hadoop', 'SAS']"
Digital Data Analyst,Selfridges,Sin informacion,Sin informacion,Sin informacion,11-01-2023,"['Cycle', 'Java', 'Reports', 'Python', 'SQL', 'Access', 'EDGE', 'ETL', 'BI']"
Early Careers Data Science Engineer,BT,Sin informacion,"£36,500 ",Sin informacion,23-12-2022,"['C', 'Go', 'Python', 'Scala', 'Spark']"
2023 UK Level 6 Data Analyst Apprenticeship,Vodafone,3,"£22,650 ",Sin informacion,04-01-2023,"['C', 'Next', 'Backbone', 'Reports', 'SQL', 'EDGE']"
