Titulo,Compañia,Experiencia,Salario,Ubicacion,Fecha,Requisitos
Analista de Datos (BIG DATA) Teletrabajo,Tuyú Technology,2,Sin informacion,Sin informacion,06-01-2023,"['Big Data', 'Batch']"
SysOps Manager,Bcnc Group,5,36.000 €,Madrid,06-01-2023,"['Elasticsearch', 'kafka', 'kubernetes', 'Big Data']"
Programador/a Big Data,CAS TRAINING,2,39.000 €,Sin informacion,05-01-2023,"['Big Data', 'Spark', 'Scala', 'Hive']"
Programador Spark y Scala (Big Data),CMV Consultores,3,42.000 €,Sin informacion,05-01-2023,"['spark', 'scala', 'Big Data']"
Programador Senior Experiencia ETL,Krell Consulting & Training,1,39.000 €,Sin informacion,05-01-2023,"['etl', 'pwc', 'bdm', 'git']"
Big Data & Cloud Architect 100% Remoto,OXIGENT Technologies,5,45.000 €,Sin informacion,05-01-2023,"['Big Data', 'Cloud', 'Azure', 'Scala']"
Bigquery developer,Grupo CMC,2,36.000 €,Sin informacion,05-01-2023,"['Bigquery', 'Google Cloud Platform']"
Ingeniero/a Informático Junior,Nextret,Sin informacion,Sin informacion,Barcelona,30-12-2022,"['Node js', 'Linux', 'Docker', 'Power BI']"
Programador Big Data,Grupo Digital,2,Sin informacion,Madrid,27-12-2022,"['big data', 'Phyton', 'R']"
Senior data Engineer (Remote),Michael Page,5,Sin informacion,Sin informacion,26-12-2022,"['big data', 'ETL', 'Azure']"
Big Data Cloud versus On Premise,Capgemini,5,Sin informacion,Madrid,23-12-2022,"['big data', 'cloud', 'PowerCenter', 'Cognos']"
Jefe Proyecto (Big Data),Grupo Digital,5,Sin informacion,Madrid,23-12-2022,['big data']
Big Data Senior Developer,Kenmei Technologies,3,Sin informacion,Sin informacion,15-12-2022,"['Scala', 'Spark', 'Google Cloud Platform', 'BigQuery']"
Arquitecto Cloud Big Data,Michael Page,2,48.000 €,Madrid,13-12-2022,"['Big Data', 'Scala']"
Ingeniero/a de Datos Senior,AdQuiver Media,5,Sin informacion,Las Palmas,09-12-2022,"['Phython', 'Java', 'AWS', 'ETL']"
Consultor/a de innovación TIC,Innovalia Group,2,30.000 €,Vizcaya,02-12-2022,"['Ciberseguridad', 'Big Data', 'IoT', 'TIC']"
Technical Business Analyst,Page Personnel,3,45.000 €,Málaga,25-11-2022,['Big Data']
Prácticas Big Data and Analytics (I&D),Capgemini,Sin informacion,Sin informacion,Madrid,06-01-2023,"['java', 'c', 'python', 'spark']"
Big Data Engineer (I&D),Capgemini,3,Sin informacion,Madrid,06-01-2023,"['Scala', 'Spark', 'Java', 'Python']"
Desarrollador iOS y Android,CIB labs,Sin informacion,Sin informacion,Sin informacion,06-01-2023,"['android', 'iOS']"
Director IT,HAYS,5,Sin informacion,Vizcaya,06-01-2023,"['SQL', 'CRM', 'ERP']"
Senior Software Engineer C/Python/C++,Topic Embedded Systems,5,48.000 €,Sin informacion,06-01-2023,"['C', 'python', 'C++', 'C#']"
Data Analyst Power BI,Serem,1,27.000 €,Alicante,05-01-2023,"['PowerBI', 'SQL', 'Qlik View']"
Big Data IA Developer Researcher Remote,ZYLK,Sin informacion,Sin informacion,Sin informacion,05-01-2023,"['java', 'python', 'hadoop', 'cloudera']"
Data Engineer (Remoto),PSS,2,Sin informacion,Madrid,05-01-2023,"['data', 'spark', 'scala', 'cloudera']"
Junior Data Analyst,Social You,2,27.000 €,Sin informacion,05-01-2023,"['data', 'sql', 'agile', 'BI']"
Ingeniero de Datos,Krell Consulting & Training,3,33.000 €,Sin informacion,05-01-2023,"['ETL', 'Snowflake', 'SQL']"
Analista de Datos Python,arelance,2,18.000 €,Madrid,05-01-2023,"['python', 'pyspark', 'microstrategy']"
Arquitecto técnico AZURE Cloud,Krell Consulting & Training,2,Sin informacion,Sin informacion,05-01-2023,['Azure']
"Analistas de Software (Java, SAP, BI...)",NTT Data,2,Sin informacion,Granada,05-01-2023,"['java', 'sap', 'react', 'salesforce']"
