Titulo,Compañia,Experiencia,Salario,Ubicacion,Fecha,Requisitos
Programador/a Python (100% Remoto),Grupo Digital,5,Sin informacion,Madrid,25-04-2023,"['Python', 'SQL', 'Big Data']"
Data Engineer,Social You,5,48.000 €,Teletrabajo,25-04-2023,"['dataflow', 'airflow', 'aws', 'bigdata']"
Coordinador/a de Gobierno del Dato,CAS TRAINING,3,30.000 €,Teletrabajo,24-04-2023,"['Big Data', 'Pentaho']"
Consultor Big Data,arelance,2,30.000 €,Teletrabajo,24-04-2023,"['data', 'big data', 'spark', 'sql']"
Technical Lead Python,Krell Consulting & Training,2,Sin informacion,Madrid,21-04-2023,"['python', 'Big Data', 'Spark', 'PySpark']"
Big data engineer Remoto,CAS TRAINING,2,27.000 €,Teletrabajo,21-04-2023,"['data', 'big data', 'python', 'aws']"
Consultor BI,Nextret,Sin informacion,33.000 €,Madrid,21-04-2023,"['linux', 'big data', 'ETL', 'SQL']"
Senior Data Analyst 40% Remoto,Page Personnel,3,30.000 €,Barcelona,20-04-2023,"['BigQuery', 'dbt', 'Fivetran']"
Desarrollador Backend y Frontend,LILIAPP,5,24.000 €,Madrid,19-04-2023,"['SQL', 'NoSQL', 'Python', 'TypeScript']"
Big Data Engineer 100% remoto,Page Personnel,3,33.000 €,Teletrabajo,17-04-2023,"['Big data', 'Spark', 'Scala']"
Analista de Datos - BIGQUERY & LOOK,Page Personnel,2,30.000 €,Madrid,14-04-2023,"['Big Query', 'SQL']"
Bigquery developer,Grupo CMC,2,36.000 €,Teletrabajo,12-04-2023,"['Bigquery', 'Google Cloud Platform']"
Team Leader web - 100% remoto,Michael Page,5,39.000 €,Valencia,17-03-2023,"['Scrum', 'Jira', 'big data']"
Data Engineer,Page Personnel,3,Sin informacion,Madrid,25-04-2023,"['Python', 'SQL']"
Analista de Datos QlikView,Serem,2,Sin informacion,Teletrabajo,25-04-2023,"['QlikView', 'BI']"
Técnico/a SAS Visual Analytics,CAS TRAINING,1,Sin informacion,Teletrabajo,25-04-2023,['SAS Visual Analytics']
